,Mean C1,Mean C2,Mean C3,Mean C4
0,1.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,-0.0004841693591467499,0.0,3.5092361111111104e-13,0.0
3,9.571836075767778e-07,0.0,2.6184027777777784e-13,0.0
4,5.400023029160832e-07,0.0,2.7449722222222224e-13,0.0
5,6.864697073826389e-08,0.0,2.309208333333333e-13,0.0
6,-1.4997164586443052e-07,0.0,2.127e-13,0.0
7,9.049661631070973e-08,0.0,1.942777777777778e-13,0.0
8,4.947588787600277e-08,0.0,1.842916666666666e-13,0.0
9,2.8016630632801374e-08,0.0,1.7479861111111115e-13,0.0
10,5.333679330229584e-08,0.0,1.6962083333333335e-13,0.0
11,-5.076297747065834e-08,0.0,1.6502777777777777e-13,0.0
12,3.6441109597888887e-08,0.0,1.6271388888888898e-13,0.0
13,4.173139647713334e-08,0.0,1.6089027777777778e-13,0.0
14,-2.2666675189331954e-08,0.0,1.6069444444444436e-13,0.0
15,2.1905794189794444e-09,0.0,1.6084444444444442e-13,0.0
16,-4.710173415694029e-09,0.0,1.6204999999999998e-13,0.0
17,1.918561787117362e-08,0.0,1.6373055555555556e-13,0.0
18,6.0983658549487505e-09,0.0,1.6616527777777782e-13,0.0
19,-3.3034123367659703e-09,0.0,1.6907361111111104e-13,0.0
20,2.1560171285798618e-08,0.0,1.726444444444445e-13,0.0
21,6.251378260340415e-09,0.0,1.7671250000000004e-13,0.0
22,-1.0777530542808334e-08,0.0,1.8128333333333335e-13,0.0
23,-2.2257312389283325e-08,0.0,1.8640972222222224e-13,0.0
24,-7.43939308043861e-11,0.0,1.9209305555555556e-13,0.0
25,3.2072710483376397e-09,0.0,1.9830138888888892e-13,0.0
26,5.890543291508612e-09,0.0,2.0505694444444447e-13,0.0
27,3.6153833772840275e-09,0.0,2.1239444444444444e-13,0.0
28,-9.774145535248611e-09,0.0,2.2026805555555557e-13,0.0
29,-5.277525872144446e-09,0.0,2.2882361111111104e-13,0.0
30,6.255761401982779e-09,0.0,2.380083333333333e-13,0.0
31,6.76031889099139e-09,0.0,2.478986111111112e-13,0.0
32,-2.4016284931759713e-09,0.0,2.58425e-13,0.0
33,-3.6333244961511106e-09,0.0,2.6974722222222214e-13,0.0
34,-8.935099457620694e-09,0.0,2.817750000000002e-13,0.0
35,7.766055840799166e-09,0.0,2.9475277777777773e-13,0.0
36,-3.655093178232084e-09,0.0,3.0845694444444436e-13,0.0
37,-5.709071870546388e-09,0.0,3.2323055555555557e-13,0.0
38,-2.4278228455651386e-09,0.0,3.389486111111111e-13,0.0
39,1.293599055650695e-09,0.0,3.5575416666666677e-13,0.0
40,-6.219532175903611e-09,0.0,3.735875e-13,0.0
41,-3.2410907103612497e-09,0.0,3.927097222222223e-13,0.0
42,-2.207730466515417e-09,0.0,4.129652777777778e-13,0.0
43,6.4617336000455575e-09,0.0,4.3479027777777763e-13,0.0
44,3.4248336161599997e-10,0.0,4.578125000000003e-13,0.0
45,-3.252380097840694e-09,0.0,4.825652777777778e-13,0.0
46,-3.107789984033471e-09,0.0,5.087513888888886e-13,0.0
47,9.360046567458193e-10,0.0,5.368249999999999e-13,0.0
48,3.5160903747486117e-09,0.0,5.666902777777777e-13,0.0
49,2.048683630657222e-10,0.0,5.986236111111112e-13,0.0
50,-4.844230869996668e-09,0.0,6.325555555555554e-13,0.0
51,-4.4595691957570845e-09,0.0,6.687430555555555e-13,0.0
52,1.2133218478176385e-09,0.0,7.074722222222221e-13,0.0
53,7.859014898571389e-09,0.0,7.485708333333333e-13,0.0
54,2.2362040624444445e-09,0.0,7.923583333333332e-13,0.0
55,9.97547409760736e-10,0.0,8.388249999999996e-13,0.0
56,-4.274199615800279e-09,0.0,8.885208333333335e-13,0.0
57,-2.6984795036783326e-09,0.0,9.378291666666664e-13,0.0
58,-3.473885779166805e-09,0.0,9.925138888888888e-13,0.0
59,3.545026138406388e-09,0.0,9.44165277777778e-13,0.0
60,-8.728197083532776e-10,0.0,9.934680555555555e-13,0.0
61,0.0,0.0,0.0,0.0
62,-2.8730229415379167e-10,1.4351462570074998e-09,4.815097222222222e-13,4.787236111111112e-13
63,2.0304560998356945e-06,2.4821993017034716e-07,2.9328055555555553e-13,2.937097222222223e-13
